Date,Region,Malades
2020-05-11,Kaolack,6
2020-05-12,Kaolack,7
2020-05-13,Kaolack,7
2020-05-14,Kaolack,9
2020-05-15,Kaolack,9
2020-05-16,Kaolack,9
2020-05-17,Kaolack,9
2020-05-18,Kaolack,9
2020-05-19,Kaolack,9
2020-05-20,Kaolack,9
2020-05-21,Kaolack,9
2020-05-22,Kaolack,9
2020-05-23,Kaolack,9
2020-05-24,Kaolack,9
2020-05-25,Kaolack,9
2020-05-26,Kaolack,9
2020-05-27,Kaolack,9
2020-05-28,Kaolack,9
2020-05-29,Kaolack,9
2020-05-30,Kaolack,9
2020-05-31,Kaolack,9
2020-06-01,Kaolack,10
2020-06-02,Kaolack,10
2020-06-03,Kaolack,10
2020-06-04,Kaolack,10
2020-06-05,Kaolack,11
2020-06-07,Kaolack,11
2020-06-08,Kaolack,11
2020-06-09,Kaolack,11
2020-06-10,Kaolack,11
2020-06-11,Kaolack,12
2020-06-12,Kaolack,12
2020-06-14,Kaolack,19
2020-06-15,Kaolack,21
2020-06-16,Kaolack,21
2020-06-17,Kaolack,21
2020-06-18,Kaolack,22
2020-06-19,Kaolack,22
2020-06-20,Kaolack,23
2020-06-21,Kaolack,23
2020-06-22,Kaolack,28
2020-06-23,Kaolack,32
2020-06-24,Kaolack,32
2020-06-25,Kaolack,32
2020-06-26,Kaolack,37
2020-06-27,Kaolack,37
2020-06-28,Kaolack,39
2020-06-29,Kaolack,40
2020-06-30,Kaolack,42
2020-07-01,Kaolack,45
2020-07-02,Kaolack,46
2020-07-03,Kaolack,53
2020-07-04,Kaolack,57
2020-07-05,Kaolack,58
2020-07-06,Kaolack,63
2020-07-07,Kaolack,68
2020-07-08,Kaolack,68
2020-07-09,Kaolack,72
2020-07-10,Kaolack,72
2020-07-11,Kaolack,75
2020-07-12,Kaolack,78
2020-07-13,Kaolack,78
2020-07-14,Kaolack,79
2020-07-15,Kaolack,79
2020-07-16,Kaolack,81
2020-07-17,Kaolack,81
2020-07-20,Kaolack,89
2020-07-21,Kaolack,89
2020-07-22,Kaolack,91
2020-07-23,Kaolack,94
2020-07-24,Kaolack,94
2020-07-25,Kaolack,99
2020-07-26,Kaolack,100
2020-07-28,Kaolack,103
2020-07-29,Kaolack,105
2020-07-30,Kaolack,105
2020-08-02,Kaolack,108
2020-08-04,Kaolack,108
2020-08-05,Kaolack,110
2020-08-07,Kaolack,113
2020-08-09,Kaolack,116
2020-08-10,Kaolack,119
2020-08-11,Kaolack,128
2020-08-12,Kaolack,128
2020-08-14,Kaolack,136
2020-08-16,Kaolack,142
2020-08-17,Kaolack,143
2020-08-18,Kaolack,143
2020-08-19,Kaolack,153
2020-08-20,Kaolack,153
2020-08-21,Kaolack,162
2020-08-22,Kaolack,171
2020-08-23,Kaolack,178
2020-08-24,Kaolack,184
2020-08-25,Kaolack,188
2020-08-26,Kaolack,197
2020-08-27,Kaolack,213
2020-08-28,Kaolack,217
2020-08-30,Kaolack,227
2020-08-31,Kaolack,229
2020-09-01,Kaolack,233
2020-09-02,Kaolack,235
2020-09-03,Kaolack,238
2020-09-04,Kaolack,243
2020-09-05,Kaolack,247
2020-09-06,Kaolack,247
2020-09-07,Kaolack,247
2020-09-08,Kaolack,250
2020-09-09,Kaolack,252
2020-09-10,Kaolack,253
2020-09-11,Kaolack,254
2020-09-12,Kaolack,254
2020-09-13,Kaolack,254
2020-09-14,Kaolack,255
2020-09-15,Kaolack,258
2020-09-16,Kaolack,258
2020-09-17,Kaolack,259
2020-09-18,Kaolack,259
2020-09-19,Kaolack,259
2020-09-20,Kaolack,260
2020-09-21,Kaolack,260
2020-09-22,Kaolack,260
2020-09-23,Kaolack,263
2020-09-24,Kaolack,263
2020-09-27,Kaolack,264
2020-09-28,Kaolack,264
2020-09-29,Kaolack,264
2020-09-30,Kaolack,264
2020-10-01,Kaolack,265
2020-10-02,Kaolack,265
2020-10-04,Kaolack,265
2020-10-07,Kaolack,269
2020-10-08,Kaolack,270
2020-10-11,Kaolack,272
2020-10-12,Kaolack,272
2020-10-14,Kaolack,273
2020-10-16,Kaolack,274
2020-10-17,Kaolack,274
2020-10-19,Kaolack,274
2020-10-20,Kaolack,274
2020-03-29,Kedougou,0
2020-03-31,Kedougou,0
2020-04-01,Kedougou,0
2020-04-02,Kedougou,0
2020-04-03,Kedougou,0
2020-04-04,Kedougou,0
2020-04-05,Kedougou,0
2020-04-06,Kedougou,0
2020-04-07,Kedougou,0
2020-04-08,Kedougou,0
2020-04-09,Kedougou,0
2020-04-10,Kedougou,0
2020-04-14,Kedougou,0
2020-04-15,Kedougou,0
2020-04-16,Kedougou,0
2020-04-17,Kedougou,0
2020-04-18,Kedougou,0
2020-04-19,Kedougou,0
2020-04-20,Kedougou,0
2020-04-21,Kedougou,0
2020-04-22,Kedougou,0
2020-04-23,Kedougou,0
2020-04-24,Kedougou,0
2020-04-25,Kedougou,0
2020-04-26,Kedougou,0
2020-04-27,Kedougou,0
2020-04-28,Kedougou,0
2020-04-29,Kedougou,0
2020-04-30,Kedougou,0
2020-05-01,Kedougou,0
2020-05-02,Kedougou,0
2020-05-03,Kedougou,0
2020-05-04,Kedougou,0
2020-05-05,Kedougou,0
2020-05-06,Kedougou,0
2020-05-07,Kedougou,0
2020-05-08,Kedougou,0
2020-05-09,Kedougou,0
